"filename", "language", "JavaScript", "Markdown", "CSS", "ASP.NET Razor", "C#", "JSON", "XML", "Properties", "Docker", "HTML", "Vue", "comment", "blank", "total"
"d:\Project2\MyMvcBackend\Server\obj\Debug\net9.0\staticwebassets\msbuild.MyMvcBackend.Microsoft.AspNetCore.StaticWebAssets.props", "XML", 0, 0, 0, 0, 0, 0, 1156, 0, 0, 0, 0, 0, 0, 1156
"d:\Project2\MyMvcBackend\Server\obj\Debug\net9.0\staticwebassets\msbuild.build.MyMvcBackend.props", "XML", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 4
"d:\Project2\MyMvcBackend\Server\obj\Debug\net9.0\staticwebassets\msbuild.buildMultiTargeting.MyMvcBackend.props", "XML", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 3
"d:\Project2\MyMvcBackend\Server\obj\Debug\net9.0\staticwebassets\msbuild.buildTransitive.MyMvcBackend.props", "XML", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 3
"d:\Project2\MyMvcBackend\Server\obj\MyMvcBackend.csproj.EntityFrameworkCore.targets", "XML", 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 1, 29
"d:\Project2\MyMvcBackend\Server\obj\MyMvcBackend.csproj.nuget.dgspec.json", "JSON", 0, 0, 0, 0, 0, 102, 0, 0, 0, 0, 0, 0, 0, 102
"d:\Project2\MyMvcBackend\Server\obj\MyMvcBackend.csproj.nuget.g.props", "XML", 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 27
"d:\Project2\MyMvcBackend\Server\obj\MyMvcBackend.csproj.nuget.g.targets", "XML", 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 11
"d:\Project2\MyMvcBackend\Server\obj\project.assets.json", "JSON", 0, 0, 0, 0, 0, 5039, 0, 0, 0, 0, 0, 0, 0, 5039
"d:\Project2\MyMvcBackend\Server\wwwroot\css\site.css", "CSS", 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 31
"d:\Project2\MyMvcBackend\Server\wwwroot\js\site.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 5
